id,pergunta,categoria,resposta_esperada,resposta_gerada,conteudo_aprovado,justificativa_conteudo,chunks_esperados,chunks_gerados,chunks_iguais
1,Que horários as mudanças podem ser realizadas no Wish Coimbra?,factual_direta,As mudanças deverão ser realizadas de segunda a sexta das 08h às 12h e das 14h às 17h e aos sábados das 08h às 12h.,As mudanças podem ser realizadas de segunda a sexta das 08h às 12h e das 14h às 17h e aos sábados das 08h às 12h.,SIM,"A resposta do sistema apresenta exatamente os mesmos horários e dias especificados no gabarito, cobrindo todos os pontos essenciais.",['doc_001#chunk_15'],['doc_001#chunk_15'],SIM
2,É permitido o uso de churrasqueiras elétricas nas varandas do Reality Buritis?,fora_do_corpus,Informação não localizada no regimento enviado.,"Não, não há menção explícita sobre o uso de churrasqueiras elétricas nas varandas do Reality Buritis.",SIM,"A resposta do sistema comunica a ausência de informação explícita, que é o ponto principal do gabarito esperado (""Informação não localizada"").",[],[],SIM
3,Qual a velocidade máxima permitida nas garagens do Edifício American Tower?,factual_direta,A velocidade máxima permitida para a circulação de veículos na garagem do prédio é de 10 km por hora.,A velocidade máxima permitida nas garagens do Edifício American Tower é de 10 km por hora.,SIM,"A resposta do sistema aborda corretamente a velocidade máxima e o local, correspondendo integralmente ao gabarito esperado.",['doc_003#chunk_25'],['doc_003#chunk_25'],SIM
4,Qual o valor da multa por descumprimento do horário de silêncio no Edifício Florença?,combinada,"A multa estipulada por infração ao Regimento Interno (incluindo o desrespeito ao horário de silêncio) é de 20% da taxa de condomínio do mês anterior. Em caso de reincidência, a multa será cobrada em dobro.",Informação não localizada no regimento enviado.,NAO,"O gabarito contém a informação esperada sobre a multa, mas o sistema respondeu que a informação não foi localizada.","['doc_004#chunk_03', 'doc_004#chunk_28']",[],NAO
5,Visitantes podem utilizar a academia no Residencial Monte Fuji?,fora_do_corpus,Informação não localizada no regimento enviado.,"Não, não há menção explícita sobre visitantes utilizar a academia no Residencial Monte Fuji.",SIM,"A resposta do sistema aborda o ponto principal do gabarito ao indicar que a informação não está explicitamente mencionada, o que é equivalente a não ter sido localizada.",[],['doc_005#chunk_01'],NAO
6,Qual o procedimento para descarte de móveis velhos no Wish Coimbra?,fora_do_corpus,Informação não localizada no regimento enviado.,Informação não localizada no regimento enviado.,SIM,"A resposta do sistema é idêntica ao gabarito, indicando corretamente que a informação não foi localizada.",[],[],SIM
7,É permitido estender roupas na varanda no Reality Buritis?,factual_direta,"Não é permitido estender roupas, tapetes ou quaisquer outros objetos nas janelas ou grade das sacadas, ou de onde estejam expostos com riscos de cair.","Não, não é permitido estender roupas na varanda no Reality Buritis.",SIM,"A resposta do sistema aborda corretamente o ponto principal de proibição de estender roupas na varanda, alinhando-se com o gabarito esperado.",['doc_002#chunk_21'],['doc_002#chunk_05'],NAO
8,Qual a idade mínima para crianças usarem a sauna sem acompanhante no American Tower?,factual_direta,"É proibido o uso da sauna por menores de 12 (doze) anos, desacompanhados dos pais ou responsáveis.",Informação não localizada no regimento enviado.,NAO,"O sistema informou não ter localizado a informação, enquanto o gabarito fornece a resposta correta e específica.",['doc_003#chunk_59'],[],NAO
9,Como deve ser feito o transporte de animais nos elevadores do Edifício Florença?,factual_direta,"A movimentação de animais deve ser feita exclusivamente através das escadas ou do elevador de serviço, devendo ocorrer de maneira segura, por meio do uso de coleiras, focinheiras ou mantendo-os no colo.",Informação não localizada no regimento enviado.,NAO,"A resposta do sistema indica que a informação não foi localizada, mas o gabarito demonstra que a informação existe e deveria ter sido encontrada.",['doc_004#chunk_05'],[],NAO
10,Qual o limite de convidados para o salão de festas no Monte Fuji?,fora_do_corpus,Informação não localizada no regimento enviado.,Informação não localizada no regimento enviado.,SIM,"A resposta do sistema é idêntica ao gabarito esperado, indicando corretamente que a informação não foi localizada.",[],[],SIM
11,Quais as restrições para realizar uma obra barulhenta em um sábado no Wish Coimbra?,combinada,"Qualquer obra, reforma ou reparo que produza ruídos poderá ser executada aos sábados apenas no horário das 08h às 12h, respeitando eventuais limites estabelecidos pela legislação.","Não, não é permitido realizar obras barulhentas em um sábado no Wish Coimbra, exceto em casos de emergência, após a devida autorização da Administração.",NAO,"A resposta do sistema contradiz o gabarito ao afirmar que não é permitido realizar obras barulhentas aos sábados, enquanto o gabarito indica um horário permitido.","['doc_001#chunk_04', 'doc_001#chunk_22']",['doc_001#chunk_05'],NAO
12,"Se meu convidado quebrar um vidro na piscina do Reality Buritis, quem paga e qual a punição?",combinada,"O condômino anfitrião é responsável por indenizar o condomínio pelos danos causados por seus convidados. Além disso, como o uso de utensílios de vidro na piscina é classificado como infração da letra (D), o condômino estará sujeito a uma multa de 100% do valor da taxa de condomínio.","Se seu convidado quebrar um vidro na piscina do Reality Buritis, ele será penalizado com multa e você, como responsável, arcará com o custo do reparo. Isso está estabelecido no regimento interno do condomínio.",NAO,"A resposta do sistema não menciona o valor específico da multa (100% da taxa de condomínio), que é um ponto crucial do gabarito. Também não especifica a classificação da infração (letra D).","['doc_002#chunk_11', 'doc_002#chunk_23', 'doc_002#chunk_24']",['doc_002#chunk_16'],NAO
13,Posso levar meu cachorro para a área da churrasqueira se ele estiver na coleira no American Tower?,factual_direta,"Não é permitido, pois é proibida a circulação de animais domésticos pelas áreas comuns do condomínio.","Não, não é permitido levar o cachorro para a área da churrasqueira, independentemente de ele estar na coleira.",NAO,A resposta do sistema não aborda a justificativa explícita (proibição de circulação de animais domésticos pelas áreas comuns) presente no gabarito.,['doc_003#chunk_85'],['doc_003#chunk_49'],NAO
14,Quais são as etapas de punição antes da multa no Edifício Florença?,factual_direta,"Antes de decidir pela aplicação da multa, o Condomínio deverá encaminhar uma notificação ao condômino, dando-lhe o prazo de 15 (quinze) dias para se defender através de documento escrito.",Informação não localizada no regimento enviado.,NAO,"A resposta do sistema indica que a informação não foi localizada, enquanto o gabarito fornece a resposta esperada.",['doc_004#chunk_28'],[],NAO
15,"Para reservar o salão de festas no Monte Fuji, preciso estar em dia com o condomínio?",fora_do_corpus,Informação não localizada no regimento enviado.,"Sim, para reservar o salão de festas no Monte Fuji, é necessário estar em dia com o condomínio.",NAO,"A resposta do sistema apresenta uma afirmação que contradiz o gabarito, que indica que a informação não foi localizada. O sistema deveria ter reportado a ausência da informação.",[],['doc_005#chunk_01'],NAO
16,Qual o valor atual da taxa de condomínio do Wish Coimbra?,fora_do_corpus,Informação não localizada no regimento enviado.,Informação não localizada no regimento enviado.,SIM,"A resposta do sistema é idêntica ao gabarito esperado, indicando corretamente que a informação não foi encontrada.",[],[],SIM
17,Qual a previsão do tempo para Goiânia amanhã?,fora_do_corpus,Informação não localizada no regimento enviado.,Informação não localizada no regimento enviado.,SIM,"A resposta do sistema é idêntica ao gabarito, indicando corretamente que a informação não foi localizada.",[],[],SIM
18,Quem é o síndico atual do Edifício Florença?,fora_do_corpus,Informação não localizada no regimento enviado.,Informação não localizada no regimento enviado.,SIM,"A resposta do sistema é idêntica ao gabarito, indicando corretamente que a informação não foi localizada.",[],[],SIM
19,Como faço para cancelar minha assinatura de TV a cabo?,fora_do_corpus,Informação não localizada no regimento enviado.,Informação não localizada no regimento enviado.,SIM,"A resposta do sistema é idêntica ao gabarito, indicando corretamente que a informação não foi encontrada no regimento.",[],[],SIM
20,Receita de pamonha goiana tradicional.,fora_do_corpus,Informação não localizada no regimento enviado.,Informação não localizada no regimento enviado.,SIM,"A resposta do sistema é idêntica ao gabarito esperado, indicando que o sistema corretamente não localizou a informação conforme previsto.",[],[],SIM
